sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
6009,658,874,921,1038,1745,1969,1845,2157,1689,1366, sehar
6010,642,921,863,1033,1907,2230,2228,2326,1582,1232, sehar
6011,658,874,921,1038,1745,1969,1845,2157,1689,1366, sehar
6012,550,801,782,1054,1719,1909,1803,2005,1637,1410, sehar
6013,620,866,870,1038,1745,1969,2214,2157,1689,1366, sehar
6014,564,782,817,1054,1719,1909,1830,2005,1637,1410, sehar
6015,736,965,1004,1281,1705,1880,2002,1926,1996,1833, sehar
6016,736,965,1004,1281,1705,1880,2002,1926,1996,1833, sehar
6017,724,994,1009,1351,1738,1944,1968,1993,2092,1886, sehar
6018,794,1070,1182,1351,1738,1944,2062,1993,2092,1886, sehar
6019,735,1015,1114,1228,1823,2082,2080,2157,1956,1632, sehar
6020,448,605,582,779,2019,2653,2798,2798,1334,864, sehar
6021,613,846,954,1085,1523,1647,1830,1758,1760,1570, sehar
6022,577,829,822,1033,1907,2230,2580,2326,1582,1232, sehar
6023,593,811,832,1038,1745,1969,1820,2157,1689,1366, sehar
6024,639,872,916,1081,1549,1712,1804,1803,1828,1585, sehar
6025,683,918,949,1351,1738,1944,1892,1993,2092,1886, sehar
6026,590,786,842,1081,1549,1712,1810,1803,1828,1585, sehar
6027,683,918,949,1351,1738,1944,1892,1993,2092,1886, sehar
6028,724,994,1009,1351,1738,1944,1968,1993,2092,1886, sehar
6029,438,702,658,927,1764,2386,2618,2452,1527,1150, sehar
6030,705,963,1034,1228,1823,2082,2232,2157,1956,1632, sehar
6031,402,680,499,976,1840,1993,2042,2003,1331,818, sehar
6032,430,646,563,935,1639,1800,1831,1841,1445,957, sehar
6033,462,662,640,923,1615,1743,1808,1904,1491,955, sehar
6034,446,713,606,985,1809,1993,2142,2130,1456,869, sehar
6035,458,696,662,963,1468,1601,1761,1754,1597,1070, sehar
6036,398,708,566,955,1751,1923,2146,2081,1403,847, sehar
6037,415,645,495,987,1797,1942,1904,1959,1346,839, sehar
6038,440,686,664,963,1468,1601,1774,1754,1597,1070, sehar
6039,393,646,572,955,1694,1876,1903,2032,1511,908, sehar
6040,439,736,598,1025,1888,1998,2065,2062,1349,852, sehar
6041,446,713,606,985,1809,1993,2142,2130,1456,869, sehar
6042,409,689,534,958,1804,1993,2170,2122,1432,837, sehar
6043,422,633,546,945,1743,1917,1911,1957,1380,884, sehar
6044,475,709,618,1048,1924,2052,2022,2118,1368,866, sehar
6045,409,689,534,958,1804,1993,2170,2122,1432,837, sehar
6046,459,700,597,923,1615,1743,1974,1904,1491,955, sehar
6047,433,704,630,953,1529,1665,1840,1906,1622,1031, sehar
6048,426,684,586,953,1529,1665,1904,1906,1622,1031, sehar
6049,424,726,593,985,1809,1993,2174,2130,1456,869, sehar
6050,423,688,571,985,1809,1993,2156,2130,1456,869, sehar
6051,449,672,589,935,1639,1800,1727,1841,1445,957, sehar
6052,406,642,510,987,1797,1942,1994,1959,1346,839, sehar
6053,427,675,547,930,1645,1832,2090,2036,1537,927, sehar
6054,427,681,534,955,1751,1923,2107,2081,1403,847, sehar
6055,462,662,640,923,1615,1743,1808,1904,1491,955, sehar
6056,449,672,589,935,1639,1800,1727,1841,1445,957, sehar
6057,424,726,593,985,1809,1993,2174,2130,1456,869, sehar
6058,424,726,593,985,1809,1993,2174,2130,1456,869, sehar
6059,449,672,589,935,1639,1800,1727,1841,1445,957, sehar
6060,426,684,586,953,1529,1665,1904,1906,1622,1031, sehar
6061,413,650,667,963,1468,1601,1688,1754,1597,1070, sehar
6062,449,672,589,935,1639,1800,1727,1841,1445,957, sehar
6063,406,719,537,958,1804,1993,2239,2122,1432,837, sehar
6064,430,646,563,935,1639,1800,1831,1841,1445,957, sehar
6065,409,689,534,958,1804,1993,2170,2122,1432,837, sehar
6066,458,696,662,963,1468,1601,1761,1754,1597,1070, sehar
6067,398,708,566,955,1751,1923,2146,2081,1403,847, sehar
6068,424,742,578,955,1751,1923,2244,2081,1403,847, sehar
6069,456,683,639,976,1566,1693,1750,1857,1599,1050, sehar
6070,405,687,584,930,1645,1832,2061,2036,1537,927, sehar
6071,424,742,578,955,1751,1923,2244,2081,1403,847, sehar
6072,429,666,598,923,1615,1743,2070,1904,1491,955, sehar
6073,426,655,604,976,1566,1693,1750,1857,1599,1050, sehar
6074,462,662,640,923,1615,1743,1808,1904,1491,955, sehar
6075,415,645,495,987,1797,1942,1904,1959,1346,839, sehar
6076,462,662,640,923,1615,1743,1808,1904,1491,955, sehar
6077,459,700,597,923,1615,1743,1974,1904,1491,955, sehar
6078,405,687,584,930,1645,1832,2061,2036,1537,927, sehar
6079,414,694,561,955,1694,1876,2057,2032,1511,908, sehar
6080,456,683,639,976,1566,1693,1750,1857,1599,1050, sehar
6081,427,675,547,930,1645,1832,2090,2036,1537,927, sehar
6082,440,666,641,976,1566,1693,1815,1857,1599,1050, sehar
6083,423,688,571,985,1809,1993,2156,2130,1456,869, sehar
6084,440,666,641,976,1566,1693,1815,1857,1599,1050, sehar
6085,424,742,578,955,1751,1923,2244,2081,1403,847, sehar
6086,409,689,534,958,1804,1993,2170,2122,1432,837, sehar
6087,422,633,546,945,1743,1917,1911,1957,1380,884, sehar
6088,406,719,537,958,1804,1993,2239,2122,1432,837, sehar
6089,440,661,544,955,1694,1876,2090,2032,1511,908, sehar
6090,413,650,667,963,1468,1601,1688,1754,1597,1070, sehar
6091,439,653,588,976,1566,1693,1953,1857,1599,1050, sehar
6092,440,661,544,955,1694,1876,2090,2032,1511,908, sehar
6093,398,708,566,955,1751,1923,2146,2081,1403,847, sehar
6094,440,666,641,976,1566,1693,1815,1857,1599,1050, sehar
