sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class
416,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
417,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
418,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
419,760,913,661,1095,2976,3816,3826,3948,1507,715,6422
420,766,929,697,1175,2784,3318,3748,3438,1662,953,6422
421,809,908,664,1134,2801,3558,3602,3610,1501,746,6422
422,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
423,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
424,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
425,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
426,792,915,673,1113,2801,3495,3836,3614,1582,866,6422
427,813,959,750,1134,2801,3558,3642,3610,1501,746,6422
428,847,979,796,1127,2789,3427,3464,3525,1608,852,6422
429,773,916,651,1102,2950,3830,3826,3940,1525,758,6422
430,771,894,682,1122,2906,3642,3740,3824,1526,754,6422
431,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
432,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
433,798,921,669,1099,2890,3823,3870,3927,1499,744,6422
434,794,935,741,1122,2906,3642,3730,3824,1526,754,6422
435,769,902,701,1099,2890,3823,3686,3927,1499,744,6422
436,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
437,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
438,769,901,651,1122,2906,3642,3784,3824,1526,754,6422
439,818,955,705,1125,2977,3800,3804,3931,1541,796,6422
440,766,902,657,1099,2890,3823,3870,3927,1499,744,6422
441,798,921,669,1099,2890,3823,3870,3927,1499,744,6422
442,780,919,673,1094,3004,3837,3982,3963,1534,752,6422
443,833,1019,810,1113,2801,3495,3350,3614,1582,866,6422
444,773,902,688,1113,2801,3495,3846,3614,1582,866,6422
445,761,919,661,1122,2906,3642,3816,3824,1526,754,6422
446,798,921,669,1099,2890,3823,3870,3927,1499,744,6422
447,832,993,814,1175,2784,3318,3222,3438,1662,953,6422
448,788,911,702,1175,2784,3318,3786,3438,1662,953,6422
449,773,916,651,1102,2950,3830,3826,3940,1525,758,6422
450,800,930,736,1113,2801,3495,3142,3614,1582,866,6422
451,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
452,763,926,660,1134,2801,3558,3802,3610,1501,746,6422
453,783,897,683,1094,3004,3837,3882,3963,1534,752,6422
454,783,915,688,1099,2890,3823,3720,3927,1499,744,6422
